SPEI,Year,Tree_ID,BAI,cumul_mn
0.343250519,1966,FR6201,645.3971708607,NA
-1.359338296,1967,FR6201,470.0362963707,NA
0.494150338,1968,FR6201,830.5755223931,NA
-1.380699182,1969,FR6201,414.059398469,NA
0.79613295,1970,FR6201,977.4877046085,NA
-0.06371012,1971,FR6201,809.8834223803,NA
